SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,-1,10,160,34,9.3667,0,0,1,True,True,16.0,0.18,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,10,215,71,15.9033,0,0,1,True,True,22.0,0.07,22.0,0.6644,5.2,0.5,3.1,3.4
0,-1,14,238,71,12.61,0,0,1,True,True,17.0,0.12,23.0,0.7622,0.7,0.0,3.1,3.4
0,1,16,248,72,14.39,0,0,1,True,True,16.0,0.11,22.0,0.6739,6.4,0.5,3.1,3.4
0,1,22,318,72,13.4035,0,0,1,False,True,14.0,0.15,25.0,0.7389,1.4,0.0,9.9,3.4
0,-1,7,109,24,10.71,0,0,1,False,False,16.0,0.13,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,10,215,71,16.3367,0,0,1,False,True,22.0,0.05,23.0,0.7622,0.7,0.0,3.1,3.4
0,1,12,245,72,14.4696,0,0,1,True,True,20.0,0.1,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,16,215,56,11.7,0,0,1,False,False,13.0,0.13,25.0,0.8372,0.5,0.0,4.4,3.4
0,1,21,300,71,14.0,0,0,1,False,True,14.0,0.08,25.0,0.7622,0.7,0.0,3.1,3.4
0,1,15,254,72,13.24,0,0,1,False,False,17.0,0.12,24.0,0.7622,0.7,0.0,3.1,3.4
1,-1,3,25,3,11.6733,0,0,1,False,True,8.0,0.12,20.0,0.5531,25.9,2.5,9.9,3.4
0,1,16,254,71,13.6738,0,0,1,False,True,16.0,0.04,28.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,3.3524,0,0,1,False,True,22.0,0.27,17.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,223,71,18.06,0,0,1,False,True,20.0,0.07,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,215,71,15.9317,0,0,1,False,True,22.0,0.1,21.0,0.7622,0.7,0.0,3.1,3.4
1,1,13,226,71,15.21,0,0,1,False,True,17.0,0.08,22.0,0.7622,0.7,0.0,3.1,4.9
0,1,21,282,70,11.8,0,0,1,False,True,13.0,0.12,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,21,308,71,13.545,0,0,1,True,True,15.0,0.13,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,220,71,13.9386,0,0,1,False,True,20.0,0.08,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,21,311,73,13.76,0,0,1,False,False,15.0,0.02,26.0,0.7622,0.7,0.0,3.1,3.4
1,-1,7,125,26,13.3657,0,0,1,True,True,18.0,0.13,20.0,0.7622,0.7,0.0,3.1,3.4
0,-1,12,212,49,2.915,0,0,1,False,True,18.0,0.08,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,215,71,14.6614,0,0,1,False,True,22.0,0.06,21.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,2.9095,0,0,1,True,True,22.0,0.29,17.0,0.7622,0.7,0.0,3.1,3.4
0,-1,25,333,70,12.99,0,0,1,True,True,13.0,0.16,28.0,0.7622,0.7,0.0,3.1,3.4
1,1,16,196,42,15.36,0,0,1,True,True,12.0,0.17,27.0,0.7622,0.7,0.0,3.1,3.4
0,1,11,225,72,15.68,0,0,1,False,True,20.0,0.05,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,135,30,12.685,0,0,1,False,False,12.0,0.27,32.0,0.6893,4.0,0.5,3.1,3.4
0,-1,6,88,16,11.38,0,0,1,False,True,15.0,0.13,19.0,0.7622,0.7,0.0,3.1,3.4
0,1,11,224,73,14.9357,0,0,1,True,True,20.0,0.08,21.0,0.7622,0.7,0.0,3.1,3.4
0,1,10,217,72,15.3214,0,0,1,True,True,22.0,0.06,21.0,0.7622,0.7,0.0,3.1,3.4
0,1,25,329,71,14.4,0,0,1,False,True,13.0,0.12,26.0,0.7622,0.7,0.0,3.1,3.4
1,1,19,305,72,11.766,0,0,1,False,True,16.0,0.15,24.0,0.7622,0.7,0.0,3.1,3.4
0,1,12,230,71,14.255,0,0,1,False,True,19.0,0.05,21.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,202,66,15.4814,0,0,1,True,True,20.0,0.03,22.0,0.6668,4.7,0.8,3.1,3.4
0,1,17,287,71,12.54,0,0,1,False,True,17.0,0.16,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,12,226,71,13.656,0,0,1,False,True,19.0,0.13,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,199,66,16.0314,0,0,1,True,True,20.0,0.05,21.0,0.7454,1.4,0.2,3.1,3.4
0,-1,2,38,2,4.445,0,0,1,True,True,19.0,0.26,19.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,4.899,0,0,1,False,True,22.0,0.27,16.0,0.7622,0.7,0.0,3.1,3.4
0,-1,4,20,3,12.7,0,0,1,False,True,5.0,0.33,29.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,5,13.6724,0,0,1,True,True,22.0,0.01,17.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,219,73,15.01,0,0,1,True,True,20.0,0.15,22.0,0.7622,0.7,0.0,3.1,3.4
